year,rank,first_name,last_name,stage_name,best_song_for_the_year
2020,1,Luke,Combs,,
2020,2,Morgan,Wallen,,
2020,3,Kane,Brown,,
2020,4,Maren,Morris,,
2020,5,Jason,Aldean,,
2020,6,Sam,Hunt,,
2020,7,Gabby,Barrett,,
2020,8,Blake,Shelton,,
2020,9,Thomas,Rhett,,
2020,10,,,Dan + Shay,
2019,1,Luke,Combs,,Beer Never Broke My Heart
2019,2,,,Dan + Shay,Speachless
2019,3,Kane,Brown,,Good as You
2019,4,Thomas,Rhett,,Look What God Gave Her
2019,5,,,Florida Georgia Line,Talk You Out of It
2019,6,Chris,Stapleton,,Millionaire
2019,7,Morgan,Wallen,,Whiskey Glasses
2019,8,Maren,Morris,,The Bones
2019,9,Jason,Aldean,,Rearview Town
2019,10,Blake,Shelton,,God's Country
2018,1,Chris,Stapleton,,Broken Halos
2018,2,Kane,Brown,,Heaven
2018,3,,,Florida Georgia Line,Simple
2018,4,Luke,Combs,,One Number Away
2018,5,Thomas,Rhett,,Maryy Me
2018,6,Luke,Bryan,,"Sunrise, Sunburn, Sunset"
2018,7,Jason,Aldean,,You Make It Easy
2018,8,,,Dan + Shay,Tequila
2018,9,Kenny,Chesney,,Get Along
2018,10,Blake,Shelton,,I Lived It
2017,1,Sam,Hunt,,Body Like a Back Road
2017,2,Chris,Stapleton,,Broken Halos
2017,3,Thomas,Rhett,,Craving You
2017,4,,,Florida Georgia Line,"God, Your Mama, and Me"
2017,5,Luke,Combs,,Hurricane
2017,6,Brett,Young,,In Case You Didn't Know
2017,7,Keith,Urban,,The Fighter
2017,8,Blake,Shelton,,Every Time I Hear That Song
2017,9,Jon,Pardi,,Dirt on My Boots
2017,10,Luke,Bryan,,Light It Up
2016,1,Chris,Stapleton,,Nobody To Blame
2016,2,Blake,Shelton,,Came Here To Forget
2016,3,,,Florida Georgia Line,H.O.L.Y.
2016,4,Thomas,Rhett,,T-Shirt
2016,5,Carrie,Underwood,,Church Bells
2016,6,Luke,Bryan,,"Huntin', Fishin' & Lovin' Every Day"
2016,7,Keith,Urban,,Blue Ain't Your Color
2016,8,Sam,Hunt,,Make You Miss Me
2016,9,Jason,Aldean,,Lights Come On
2016,10,Cole,Swindell,,You Should Be Here
2015,1,Luke,Bryan,,
2015,2,Sam,Hunt,,
2015,3,,,Zac Brown Band,
2015,4,Carrie,Underwood,,
2015,5,,,Florida Georgia Line,
2015,6,Jason,Aldean,,
2015,7,Eric,Church,,
2015,8,Blake,Shelton,,
2015,9,Kenny,Chesney,,
2015,10,,,Little Big Town,
2014,1,Luke,Bryan,,
2014,2,,,Florida Georgia Line,
2014,3,Blake,Shelton,,
2014,4,Jason,Aldean,,
2014,5,Brantley,Gilbert,,
2014,6,Eric,Church,,
2014,7,Thomas,Rhett,,
2014,8,Tim,McGraw,,
2014,9,Miranda,Lambert,,
2014,10,Dierks,Bentley,,
2013,1,Luke,Bryan,,
2013,2,Jason,Aldean,,
2013,3,Brantley,Gilbbert,,
2013,4,Eric,Church,,
2013,5,,,Florida Georgia Line,
2013,6,Justin,Moore,,
2013,7,Randy,Houser,,
2013,8,Blake,Shelton,,
2013,9,Billy,Currington,,
2013,10,Kenny,Chesney,,
2012,1,Taylor,Swift,,
2012,2,Jason,Aldean,,
2012,3,Luke,Bryan,,
2012,4,,,Lady Antebellum,
2012,5,Carried,Underwood,,
2012,6,Eric,Church,,
2012,7,,,Zac Brown Band,
2012,8,Blake,Shelton,,
2012,9,Toby,Keith,,
2012,10,Kenny,Chesney,,
2011,1,Taylor,Swift,,
2011,2,Jason,Aldean,,
2011,3,,,Florida Georgia Line,
2011,4,,,Zac Brown Band,
2011,5,Blake,Shelton,,
2011,6,,,The Band Perry,
2011,7,,,Rascal Flatts,
2011,8,Kenny,Chesney,,
2011,9,Brad,Paisley,,
2011,10,Luke,Bryan,,
2010,1,Luke,Bryan,,
2010,2,Jason,Aldean,,
2010,3,Blake,Shelton,,
2010,4,,,Florida Georgia Line,
2010,5,,,Zac Brown Band,
2010,6,,,Lady Antebellum,
2010,7,Carrie,Underwood,,
2010,8,Eric,Church,,
2010,9,Keith,Urban,,
2010,10,Taylor,Swift,,